SPECIES,EGG_ID,PLANT_ID,TIME_POST_DEPLOY,STATUS
SYRIACA,1,1,26,1
SYRIACA,2,1,26,1
SYRIACA,3,2,14,2
SYRIACA,4,2,14,2
SYRIACA,5,3,14,2
SYRIACA,6,3,18,2
SYRIACA,7,4,8,2
SYRIACA,8,4,8,2
SYRIACA,9,5,10,2
SYRIACA,10,5,16,2
SYRIACA,11,6,6,2
SYRIACA,12,6,12,2
SYRIACA,13,7,12,2
SYRIACA,14,7,12,2
SYRIACA,15,8,16,2
SYRIACA,16,8,26,1
SYRIACA,17,9,26,1
SYRIACA,18,9,26,1
SYRIACA,19,10,22,2
SYRIACA,20,10,26,1
SYRIACA,21,11,12,2
SYRIACA,22,11,16,2
SYRIACA,23,12,6,2
SYRIACA,24,12,8,2
SYRIACA,25,13,8,2
SYRIACA,26,13,8,2
SYRIACA,27,14,6,2
SYRIACA,28,14,6,2
SYRIACA,29,15,8,2
SYRIACA,30,15,8,2
INCARNATA,31,16,12,2
INCARNATA,32,16,26,1
INCARNATA,33,17,12,2
INCARNATA,34,17,22,2
INCARNATA,35,18,26,1
INCARNATA,36,18,26,1
INCARNATA,37,19,12,2
INCARNATA,38,19,16,2
INCARNATA,39,20,26,1
INCARNATA,40,20,26,1
INCARNATA,41,21,18,2
INCARNATA,42,21,26,1
INCARNATA,43,22,20,2
INCARNATA,44,22,26,1
INCARNATA,45,23,16,2
INCARNATA,46,23,22,2
INCARNATA,47,24,2,2
INCARNATA,48,24,26,1
INCARNATA,49,25,12,2
INCARNATA,50,25,12,2
INCARNATA,51,26,20,2
INCARNATA,52,26,26,1
INCARNATA,53,27,16,2
INCARNATA,54,27,26,1
INCARNATA,55,28,26,1
INCARNATA,56,28,26,1
INCARNATA,57,29,14,2
INCARNATA,58,29,26,1
INCARNATA,59,30,16,2
INCARNATA,60,30,16,2
